"state","county","fips_code","geographic_coordinates","days_with_maximum_temperature_above_35_c","days_with_maximum_temperature_above_40c","maximum_of_maximum_temperatures","drought_annualized_frequency","wildfire_annualized_frequency"
"CA","Los Angeles","06037109601","+34.2593157,-118.4495333","29.77943993","17.26370049","2.630584717","73.11111111","0.000105373"
"CA","Los Angeles","06037109603","+34.2536518,-118.4654157","29.77943993","17.26370049","2.630584717","73.11111111","5.10107e-06"
"CA","Los Angeles","06037109604","+34.2615445,-118.4653518","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037109700","+34.2619343,-118.4808881","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037109800","+34.2537115,-118.4815974","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037111100","+34.2683099,-118.4950694","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037111201","+34.2748338,-118.5101489","29.77943993","17.26370049","2.630584717","73.11111111","1.81346e-05"
"CA","Los Angeles","06037111202","+34.2684432,-118.5148271","29.77943993","17.26370049","2.630584717","73.11111111","1.90876e-06"
"CA","Los Angeles","06037111204","+34.2619679,-118.5474393","29.77943993","17.26370049","2.630584717","73.11111111","3.82164e-06"
"CA","Los Angeles","06037111205","+34.2540547,-118.5352005","29.77943993","17.26370049","2.630584717","73.11111111","1.85624e-05"
"CA","Los Angeles","06037111206","+34.2690645,-118.5343557","29.77943993","17.26370049","2.630584717","73.11111111","2.38313e-05"
"CA","Los Angeles","06037111301","+34.2611290,-118.5157706","29.77943993","17.26370049","2.630584717","73.11111111","4.49281e-06"
"CA","Los Angeles","06037111302","+34.2539511,-118.5128425","29.77943993","17.26370049","2.630584717","73.11111111","4.64584e-06"
"CA","Los Angeles","06037111400","+34.2578116,-118.4961820","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037113101","+34.2654115,-118.5852975","29.77943993","17.26370049","2.630584717","73.11111111","0.000234228"
"CA","Los Angeles","06037113102","+34.2660306,-118.5686167","29.77943993","17.26370049","2.630584717","73.11111111","0.000208522"
"CA","Los Angeles","06037113211","+34.2674995,-118.6227865","29.77943993","17.26370049","2.630584717","73.11111111","0.007023602"
"CA","Los Angeles","06037113212","+34.2606869,-118.6024313","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037113213","+34.2519958,-118.6071365","29.77943993","17.26370049","2.630584717","71.16666667","0.0002182"
"CA","Los Angeles","06037113231","+34.2266028,-118.6502378","29.77943993","17.26370049","2.630584717","71.16666667","0.008318458"
"CA","Los Angeles","06037113232","+34.2258260,-118.6125452","29.77943993","17.26370049","2.630584717","71.16666667","0.000226612"
"CA","Los Angeles","06037113233","+34.2269621,-118.6012203","29.77943993","17.26370049","2.630584717","71.16666667","0"
"CA","Los Angeles","06037113234","+34.2257746,-118.5939793","29.77943993","17.26370049","2.630584717","71.16666667","0"
"CA","Los Angeles","06037113235","+34.2382513,-118.6516770","29.77943993","17.26370049","2.630584717","71.16666667","0.007212739"
"CA","Los Angeles","06037113237","+34.2445440,-118.6117577","29.77943993","17.26370049","2.630584717","71.16666667","0.003225819"
"CA","Los Angeles","06037113301","+34.2440427,-118.5583429","29.77943993","17.26370049","2.630584717","73.11111111","9.43538e-06"
"CA","Los Angeles","06037113303","+34.2440789,-118.5790731","29.77943993","17.26370049","2.630584717","73.11111111","1.23227e-05"
"CA","Los Angeles","06037113321","+34.2533539,-118.5918392","29.77943993","17.26370049","2.630584717","73.11111111","2.4062e-05"
"CA","Los Angeles","06037113322","+34.2536788,-118.5721382","29.77943993","17.26370049","2.630584717","73.11111111","2.39176e-06"
"CA","Los Angeles","06037113401","+34.2272273,-118.5626938","29.77943993","17.26370049","2.630584717","73.11111111","1.19757e-05"
"CA","Los Angeles","06037113421","+34.2335792,-118.5830621","29.77943993","17.26370049","2.630584717","73.11111111","9.54496e-06"
"CA","Los Angeles","06037113422","+34.2242131,-118.5809624","29.77943993","17.26370049","2.630584717","73.11111111","1.54842e-05"
"CA","Los Angeles","06037115101","+34.2394391,-118.5112305","29.77943993","17.26370049","2.630584717","73.11111111","2.25246e-05"
"CA","Los Angeles","06037115103","+34.2438266,-118.5274632","29.77943993","17.26370049","2.630584717","73.11111111","4.41517e-05"
"CA","Los Angeles","06037115104","+34.2374909,-118.5226461","29.77943993","17.26370049","2.630584717","73.11111111","1.31787e-07"
"CA","Los Angeles","06037115201","+34.2441108,-118.5382749","29.77943993","17.26370049","2.630584717","73.11111111","6.45386e-06"
"CA","Los Angeles","06037115202","+34.2332349,-118.5376549","29.77943993","17.26370049","2.630584717","73.11111111","3.40129e-06"
"CA","Los Angeles","06037115301","+34.2422846,-118.5480890","29.77943993","17.26370049","2.630584717","73.11111111","7.15621e-06"
"CA","Los Angeles","06037115302","+34.2259651,-118.5503049","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037115401","+34.2248079,-118.5151270","29.77943993","17.26370049","2.630584717","73.11111111","3.42458e-05"
"CA","Los Angeles","06037115403","+34.2247342,-118.5317299","29.77943993","17.26370049","2.630584717","73.11111111","0"
"CA","Los Angeles","06037115404","+34.2255624,-118.5416703","29.77943993","17.26370049","2.630584717","73.11111111","0"
