"state","county","fips_code","geographic_coordinates","days_with_maximum_temperature_above_35_c","days_with_maximum_temperature_above_40c","maximum_of_maximum_temperatures","drought_-_annualized_frequency","wildfire_-_annualized_frequency"
"CA","Los Angeles","6037106113","+34.3061792,-118.4222365","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.517123850197109"
"CA","Los Angeles","6037106114","+34.3023558,-118.4268073","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037106403","+34.3060186,-118.4412741","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.341532522996058"
"CA","Los Angeles","6037106405","+34.3146809,-118.4482929","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.568358519491897"
"CA","Los Angeles","6037106406","+34.3228508,-118.4590006","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.887305628558914"
"CA","Los Angeles","6037106407","+34.3105742,-118.4365572","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037106408","+34.3132613,-118.4400777","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037106510","+34.3264050,-118.4795847","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.96933858957512"
"CA","Los Angeles","6037106520","+34.3088574,-118.4613524","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.611448751642576"
"CA","Los Angeles","6037106603","+34.3123662,-118.5244831","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.987297415681121"
"CA","Los Angeles","6037106604","+34.3033292,-118.4745764","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.809064279456855"
"CA","Los Angeles","6037106641","+34.2984691,-118.5084331","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.605097459483136"
"CA","Los Angeles","6037106642","+34.2863224,-118.5070136","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.520066798072711"
"CA","Los Angeles","6037106643","+34.2894537,-118.5220166","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.908180026281209"
"CA","Los Angeles","6037106645","+34.2905628,-118.4941725","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.829911300919842"
"CA","Los Angeles","6037106646","+34.2797379,-118.4939447","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.438020148926851"
"CA","Los Angeles","6037106648","+34.2930983,-118.4558345","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.454185830048182"
"CA","Los Angeles","6037106649","+34.2892618,-118.4606541","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0.74861749890495"
"CA","Los Angeles","6037107010","+34.3020803,-118.4467204","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
"CA","Los Angeles","6037107020","+34.2975505,-118.4504793","0.85399841213349","0.855888557104896","0.11377884852301","0.968106657906264","0"
